Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Name,Category,Description
3,0.794688,1.476196,-1.483733,1.554578,-3.199699,-0.954672,-1.003887,0.863975,0.450192,1.833926,-0.905116,-0.502831,0.068018,0.697875,0.248281,0.795226,-0.759269,-0.522519,-2.056655,0.907398,-0.446889,-0.980256,-1.124217,-0.450081,1.084382,-1.783064,-1.428817,-0.420185,2.32,0,Hoyts,Entertainment,
562,0.193894,0.135241,0.648115,0.490580,-0.929620,-2.294476,-0.551570,-0.306013,1.504579,-1.531204,1.681498,-1.108799,-1.101522,0.756483,0.610446,0.510227,0.199143,-1.233409,-0.229120,0.537925,-0.388535,-1.629973,1.795661,1.646800,-0.377178,-2.082211,-1.191359,-0.830311,17.33,0,Disney+,Entertainment,Tap to pay
1304,-0.494063,1.034162,0.767170,-0.219519,-1.111317,0.620557,0.674249,0.081703,-0.001816,-1.202618,-0.464647,0.009026,0.764569,0.976449,-1.399870,-0.967332,-0.446197,-1.645645,0.946727,-0.562432,-0.354873,1.246294,1.178949,0.298641,-0.631152,-0.266500,0.792271,-0.286350,117.00,0,Booking.com,Travel,
3753,1.584355,1.314702,-1.113720,-0.203865,-0.508110,-1.242927,0.179637,-0.134083,0.762680,0.269580,-0.107635,-1.086639,0.834673,-1.118010,0.725516,-0.041629,0.370211,1.235584,-0.371710,-0.402445,1.038511,0.436137,0.687442,-0.563294,-0.024691,-0.410512,0.428071,-0.906502,25.24,0,Netflix,Entertainment,
4531,0.046975,1.319594,0.008015,-1.062467,0.748961,-0.166412,0.807201,0.378867,-0.539172,0.666056,0.693844,0.052029,0.351405,0.229287,0.476505,0.465719,0.444742,-1.792838,-0.434196,-0.651838,1.430124,-0.179187,0.710884,1.300117,0.787426,1.741598,0.866148,-0.826231,18.14,0,Hungry Jack's,Food,Auto-renewal
4678,0.529500,-2.038157,0.845164,-0.971730,-0.249618,-1.753247,-0.064680,0.695933,0.268999,-0.863269,-0.413131,0.940408,0.875947,0.068106,0.872468,0.026304,1.680294,1.042855,-0.564475,-0.887558,-2.380234,-0.003587,-0.457743,0.136027,0.197239,0.264405,-0.676345,1.032653,29.02,0,Aldi,Food,
4939,-0.912003,0.417401,0.123007,0.652030,1.142634,1.791006,-1.435657,-0.615916,1.882875,0.245279,-0.000818,-0.377061,-1.483390,1.646191,1.662714,-0.950352,1.205096,-0.343980,-0.269203,-0.467954,-0.494201,0.859590,0.456952,-0.698263,-0.114378,-1.012854,-0.200953,-0.536196,15.05,0,Uber,Travel,Tap to pay
7445,-0.013602,0.157931,0.238243,-0.428667,-0.840834,-0.237750,1.125372,0.075531,0.500153,-2.718583,0.975183,-2.146764,0.958433,0.562937,1.197538,0.989625,-1.508740,0.763428,-0.420722,-1.276455,-0.009450,0.102496,-0.163993,-1.672886,0.394867,0.780766,-0.332795,-0.685203,127.37,0,Guzman y Gomez,Food,
8092,-0.529364,-1.440398,-0.211158,0.498541,-3.250021,0.561032,0.114248,-0.066748,-0.892694,-0.298865,1.125198,-0.094898,-0.199702,-1.304644,0.969559,-0.655617,-0.205809,-0.984512,0.763037,-1.119195,-0.135190,-1.290446,0.148749,-0.245853,0.507954,1.515899,-0.430565,-0.515939,12.13,0,Spotify,Entertainment,Tap to pay
9704,0.380356,0.642574,0.564830,0.593344,-0.188348,0.554143,0.046508,1.073949,1.456901,-1.533266,0.299305,-0.022119,0.007575,-0.295729,0.051385,0.578530,0.974124,-0.084573,0.561018,-0.735951,-1.186313,1.451354,-0.303607,0.552192,0.375048,0.048903,-1.509911,-0.883226,3.74,0,Optus,Utilities,
