Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Name,Category,Description
496,0.273599,1.610071,-0.938051,-1.890671,0.89459,0.543876,0.690173,0.130746,-0.231793,-0.007802,0.457751,1.374572,-0.677779,-0.196643,-1.541875,-0.968554,1.808997,0.073908,-0.291952,-0.864034,1.404897,2.0807,-0.228387,0.377498,1.592156,1.107315,-1.442384,-1.100449,119.25,0,Medibank,Insurance,Medibank payment
2417,-0.91581,0.876012,0.664266,-1.219075,0.847361,-1.002203,-0.086244,-0.2939,0.11442,0.818636,0.638414,0.349885,0.649948,0.478492,-0.626985,-0.717371,-0.469968,0.499326,-0.250116,2.335754,-0.819293,-1.098875,0.768474,1.42185,0.505693,0.835817,1.426345,-0.094027,216.81,0,Raiz Invest,Investment,Raiz Invest payment
3356,0.117308,-0.711686,0.852981,0.174411,-0.07658,0.684156,1.914577,-0.717831,-0.577037,1.340893,-1.757959,1.352468,-0.758428,0.200574,0.027202,1.28353,-0.106004,1.321258,0.808733,-0.604652,0.66399,3.401817,-0.43582,-0.026117,0.460988,0.140603,-1.233827,-1.272347,4780.76,0,Westpac,Salary,Westpac payment
5838,1.226942,-0.029907,1.953101,-0.358876,1.59306,0.115119,-0.516269,-1.128448,-0.151031,1.423321,0.816374,0.688884,-2.375873,0.710964,0.555852,-0.549926,-0.627384,-0.00231,1.724876,-1.055101,-0.427805,1.361785,-0.446151,-0.364251,0.097776,-1.241289,0.219945,-1.209618,100.99,0,Jetstar,Travel,Jetstar payment
8331,1.365689,-1.303264,-0.122139,0.323146,1.745721,-1.680916,0.99062,0.591354,1.533546,0.712386,0.052071,-2.299923,-1.24818,-6.050432,-0.191697,2.020267,-3.868156,0.320392,-1.569001,-0.395463,0.261148,0.82396,1.448102,-0.044148,-1.117245,0.45785,0.516987,0.491658,434.73,1,Woolworths,Food,Suspicious Woolworths charge
11270,0.699825,1.641936,-1.109536,0.665439,0.317522,-0.338434,-0.606351,1.577905,1.729982,-1.020461,-0.488387,0.391756,-1.772516,0.165151,0.420283,-0.952712,0.44065,-1.581552,0.332453,-1.333526,-2.552019,0.827116,0.588462,-1.05841,1.684052,0.005484,0.64956,-0.992784,39.71,0,Woolworths Metro,Food,Woolworths Metro payment
13204,0.332164,-1.862303,0.695284,-0.306245,-0.100198,1.901589,-0.008573,2.240944,-0.442148,0.350512,-0.490848,-0.690688,0.062483,-0.282572,0.202492,-2.105028,2.002468,-0.166997,1.742906,-1.007112,0.292536,3.164942,-0.869729,-1.4953,-0.54651,0.472488,0.69334,1.290367,621.29,0,JB Hi-Fi,Entertainment,JB Hi-Fi payment
13493,-0.257012,-1.956939,-0.035052,1.398168,2.126548,0.561687,0.309302,-1.240206,-0.843243,0.046916,0.503198,0.995403,-0.478209,-4.268903,-0.777782,-1.156974,-4.048512,-2.312281,-0.333278,0.449878,1.522013,0.0713,1.001284,-0.399004,-0.744404,-0.674393,1.527336,0.994221,17951.9,1,Commonwealth Bank,Salary,Suspicious Commonwealth Bank charge
15735,1.884036,-0.839876,0.697156,-0.660715,1.03757,1.584901,-0.395837,-1.317252,1.452194,-0.116741,1.841052,0.090568,-0.450531,1.405231,0.497988,-0.201051,0.356079,0.315635,-0.753237,-0.261723,-1.257599,-0.973342,0.407678,1.358434,-0.101614,1.153523,1.602425,-1.084061,16.72,0,Woolworths Metro,Food,Woolworths Metro payment
18373,1.716871,0.038255,-0.507634,-0.591447,-0.069756,-1.264766,-0.125261,0.061182,1.844679,0.943474,1.034029,-0.712949,0.669922,-1.139382,0.311961,0.418737,-0.766409,1.99938,0.567374,-1.902728,0.55286,-0.407412,0.001376,0.465765,0.390533,-2.039151,-1.15832,0.772624,26.76,0,McDonald's Australia,Food,McDonald's Australia payment
22204,1.804366,-0.271784,0.164682,-0.151912,-0.075768,-0.895404,1.632937,-0.758202,1.198596,-1.375766,-0.185465,1.749871,1.578201,1.274104,0.447306,-0.550536,0.451223,-1.014837,-0.605388,1.675222,0.030707,0.216691,0.312017,0.835715,1.718515,-1.965322,-0.260651,1.408408,502.7,0,Officeworks,Utilities,Officeworks payment
25027,0.459438,-0.184457,0.616409,-0.115979,0.763854,-0.183211,0.829587,0.672384,-0.11661,-0.859777,-0.94012,-0.740737,-0.984488,0.865796,-0.046602,1.570101,2.27933,0.024222,-1.548017,-0.381454,-0.075348,-1.488442,-0.250493,0.286946,-0.459428,-0.768426,-0.758757,1.786684,235.82,0,Dan Murphy's,Entertainment,Dan Murphy's payment
28753,-0.851228,0.552341,-0.147646,0.500499,-2.084125,1.138158,-0.952128,-1.937921,-0.632935,-0.561657,-0.027214,-0.008454,-0.24368,1.031729,-1.278008,-0.702432,-1.054409,0.23577,0.255983,1.102855,1.45031,-1.037359,0.203519,0.368505,-1.409124,-0.13724,-0.942182,1.588851,123.63,0,Raiz Invest,Investment,Raiz Invest payment
